                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1421,                 3.1975,                 2.0654,                0.00875,                0.91304,                 0.0138,                0.00443,                 1.8972,                 3.2726,                 2.1977,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.1437,                 2.2616,                 2.0376,                0.82455,                0.91304,                0.84252,                0.37331,                 1.8505,                 1.6746,                 2.0668,              5.604e-05,              5.604e-05,              5.604e-05
                      3,                 1.9243,                 1.6055,                 1.9139,                0.83575,                0.88533,                0.87308,                 0.5094,                 1.4628,                 2.1471,                 1.7058,               8.68e-05,               8.68e-05,               8.68e-05
                      4,                 1.5974,                 1.4466,                 1.6247,                 0.8778,                0.93743,                0.85744,                0.42116,                 1.4948,                 1.4528,                  1.736,             0.00011228,             0.00011228,             0.00011228
                      5,                 1.5184,                 1.2188,                 1.5236,                0.93539,                      1,                 0.9825,                0.60563,                 1.4433,                 1.8969,                 1.5922,             0.00013248,             0.00013248,             0.00013248
                      6,                 1.4717,                 1.1716,                 1.6312,                 0.8797,                0.95394,                0.93412,                0.56419,                  1.536,                  1.157,                 1.6997,              0.0001474,              0.0001474,              0.0001474
                      7,                 1.4653,                 1.0504,                 1.5206,                0.86797,                0.95652,                0.97007,                0.53893,                 1.5735,                 1.6472,                  1.715,             0.00015704,             0.00015704,             0.00015704
                      8,                 1.2999,                0.88513,                 1.4217,                0.93229,                      1,                0.97542,                0.48579,                 1.7124,                 1.4459,                 1.9279,              0.0001614,              0.0001614,              0.0001614
                      9,                 1.2917,                0.81666,                 1.4103,                 0.9511,                      1,                0.95354,                 0.4976,                  1.725,                 1.3054,                 1.9703,             0.00016048,             0.00016048,             0.00016048
                     10,                 1.2401,                0.72732,                 1.3582,                0.95043,                      1,                0.96083,                0.51061,                 1.6781,                 1.3613,                 1.9118,             0.00015428,             0.00015428,             0.00015428
                     11,                 1.1248,                0.70294,                 1.2775,                0.93664,                      1,                0.98792,                0.53934,                 1.5663,                 1.7385,                 1.7767,              0.0001428,              0.0001428,              0.0001428
                     12,                 1.0877,                0.67433,                 1.2163,                0.91563,                      1,                0.98792,                0.55782,                 1.4956,                 1.7253,                 1.7196,             0.00012604,             0.00012604,             0.00012604
                     13,                 1.1192,                0.62738,                 1.1778,                0.91438,                      1,                0.98792,                0.56178,                 1.4805,                  1.543,                 1.7139,               0.000104,               0.000104,               0.000104
                     14,                 1.0768,                0.57999,                 1.2093,                0.91487,                      1,                0.97658,                0.55394,                 1.4994,                 1.2875,                 1.7334,              7.668e-05,              7.668e-05,              7.668e-05
                     15,                 1.0044,                 0.5418,                 1.1908,                 0.9151,                      1,                0.96919,                0.53908,                 1.5346,                 1.1268,                   1.75,              4.408e-05,              4.408e-05,              4.408e-05
